System_Name,Filename,Precision_Task_1a,Recall_Task_1a,F1_Score_Task_1a,Precision_Task_1b,Recall_Task_1b,F1_Score_Task_1b
Baseline$Default,C00-2123,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,C02-1025,0.1111111111111111,0.08,0.09302325581395349,0.0,0.0,NA
Baseline$Default,C04-1089,0.06666666666666667,0.058823529411764705,0.0625,0.0,0.0,NA
Baseline$Default,C08-1098,0.03571428571428571,0.027777777777777776,0.03125,0.0,0.0,NA
Baseline$Default,C10-1045,0.03225806451612903,0.024390243902439025,0.027777777777777776,0.0,0.0,NA
Baseline$Default,C90-2039,0.07692307692307693,0.03333333333333333,0.046511627906976744,0.0,0.0,NA
Baseline$Default,C94-2154,0.5,0.18181818181818182,0.26666666666666666,0.0,0.0,NA
Baseline$Default,C98-1097,0.25,0.15789473684210525,0.1935483870967742,0.0,0.0,NA
Baseline$Default,D09-1023,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,NA
Baseline$Default,D10-1058,0.05555555555555555,0.02564102564102564,0.03508771929824561,0.0,0.0,NA
Baseline$Default,D10-1083,0.0625,0.05263157894736842,0.05714285714285714,0.0,0.0,NA
Baseline$Default,E03-1020,0.15384615384615385,0.11764705882352941,0.13333333333333333,0.0,0.0,NA
Baseline$Default,E09-2008,0.125,0.125,0.125,0.0,0.0,NA
Baseline$Default,H05-1115,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,H89-2014,0.1,0.058823529411764705,0.07407407407407408,0.0,0.0,NA
Baseline$Default,I05-5011,0.11764705882352941,0.07407407407407407,0.0909090909090909,0.0,0.0,NA
Baseline$Default,J00-3003,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,J96-3004,0.125,0.07766990291262135,0.09580838323353293,0.0,0.0,NA
Baseline$Default,J98-2005,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,N01-1011,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.0,0.0,NA
Baseline$Default,N04-1038,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,N06-2049,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,N09-1001,0.08333333333333333,0.047619047619047616,0.060606060606060615,0.0,0.0,NA
Baseline$Default,N09-1025,0.09375,0.08823529411764706,0.0909090909090909,0.0,0.0,NA
Baseline$Default,P00-1025,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,NA
Baseline$Default,P05-1004,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0,0.0,NA
Baseline$Default,P05-1053,0.09090909090909091,0.06944444444444445,0.07874015748031497,0.0,0.0,NA
Baseline$Default,P06-2124,0.13333333333333333,0.06060606060606061,0.08333333333333333,0.0,0.0,NA
Baseline$Default,P07-1040,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,P98-1046,0.09523809523809523,0.08333333333333333,0.08888888888888889,0.0,0.0,NA
Baseline$Default,P98-1081,0.09523809523809523,0.038461538461538464,0.05479452054794521,0.0,0.0,NA
Baseline$Default,P98-2143,0.12244897959183673,0.07407407407407407,0.0923076923076923,0.0,0.0,NA
Baseline$Default,W03-0410,0.09523809523809523,0.07692307692307693,0.0851063829787234,0.0,0.0,NA
Baseline$Default,W04-0213,0.06666666666666667,0.041666666666666664,0.05128205128205127,0.0,0.0,NA
Baseline$Default,W06-3909,0.16666666666666666,0.09523809523809523,0.12121212121212123,0.0,0.0,NA
Baseline$Default,W08-2222,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,W09-0621,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,W11-0815,0.0,0.0,NA,NA,0.0,NA
Baseline$Default,W95-0104,0.05405405405405406,0.03125,0.039603960396039604,0.0,0.0,NA
Baseline$Default,X96-1048,0.2,0.10526315789473684,0.13793103448275862,0.0,0.0,NA
